year,county,price
1776,1,3.87
1777,1,3.87
1778,1,4.005
1779,1,3.75
1780,1,4.005
1781,1,4.995
1782,1,3.945
1783,1,4.755
1784,1,4.245
1785,1,5.745
1786,1,5.505
1787,1,4.755
1788,1,4.995
1789,1,5.745
1790,1,5.88
1791,1,4.5
1792,1,5.745
1793,1,5.745
1794,1,3.63
1795,1,3.63
1796,1,3.405
1797,1,3.48
1798,1,4.17
1799,1,5.22
1800,1,6.975
1801,1,6.66
1802,1,6.36
1803,1,3.86
1804,1,4.16
1805,1,4.24
1806,1,5.37
1807,1,5.45
1808,1,6.82
1809,1,6.06
1810,1,4.85
1811,1,6.97
1812,1,9.09
1813,1,8.48
1814,1,7.27
1815,1,7.27
1816,1,8.63
1817,1,9.09
1818,1,10
1819,1,8.94
1820,1,7.12
1821,1,5.45
1822,1,5.76
1823,1,5.76
1824,1,5.45
1825,1,6.06
1826,1,9.54
1827,1,6.97
1828,1,5.76
1829,1,6.67
1830,1,7.57
1831,1,9.39
1832,1,7.27
1833,1,6.06
1834,1,6.82
1835,1,7.27
1836,1,6.82
1837,1,7.88
1838,1,9.09
1839,1,7.57
1840,1,8.18
1841,1,10.91
1842,1,8.48
1843,1,7.57
1844,1,6.36
1845,1,10.91
1846,1,8.79
1847,1,8.33
1848,1,6.36
1849,1,6.67
1850,1,8.33
1851,1,9.09
1852,1,9.09
1853,1,10.91
1854,1,9.7
1855,1,13.33
1856,1,11.06
1857,1,8.94
1858,1,7.42
1859,1,7.26
1860,1,8.94
1861,1,11.54
1862,1,9.4
1863,1,8.63
1864,1,6.68
1865,1,7.64
1866,1,8.33
1867,1,14.55
1868,1,12.11
1869,1,7.75
1870,1,8.06
1871,1,8.67
1872,1,8.98
1873,1,10.2
1874,1,9.85
1875,1,8.79
1876,1,9.4
1877,1,9.32
1878,1,7.64
1879,1,7.75
1880,1,11.19
1881,1,11.23
1882,1,8.14
1883,1,7.64
1884,1,7.26
1885,1,6.49
1886,1,6.34
1887,1,4.97
1888,1,7.26
1889,1,7.8
1890,1,8.1
1891,1,11.45
1892,1,8.2
1893,1,7.3
1894,1,5.75
1895,1,6.47
1896,1,7
1897,1,7.9
1898,1,8
1899,1,9.25
1900,1,9
1901,1,8.54
1902,1,7.8
1903,1,7.8
1904,1,7.9
1905,1,8.4
1906,1,8.52
1907,1,8.71
