year,county,wage
1803,1,0.25
1804,1,0.27
1805,1,0.29
1806,1,0.33
1807,1,0.33
1808,1,0.4
1809,1,0.37
1810,1,0.37
1811,1,0.5
1812,1,0.62
1813,1,0.67
1814,1,0.62
1815,1,0.75
1816,1,0.75
1817,1,0.83
1818,1,0.62
1819,1,0.62
1820,1,0.56
1821,1,0.56
1822,1,0.62
1823,1,0.69
1824,1,0.69
1825,1,0.94
1826,1,0.75
1827,1,0.75
1828,1,0.75
1829,1,0.75
1830,1,0.75
1831,1,0.83
1832,1,0.81
1833,1,0.81
1834,1,0.83
1835,1,0.83
1836,1,0.83
1837,1,0.83
1838,1,0.83
1839,1,0.83
1840,1,0.83
1841,1,0.83
1842,1,0.87
1843,1,0.87
1844,1,0.81
1845,1,0.75
1846,1,0.75
1847,1,0.75
1848,1,0.75
1849,1,0.83
1850,1,0.83
1851,1,0.83
1852,1,0.83
1853,1,0.83
1854,1,1
1855,1,1.25
1856,1,1.25
1857,1,1.5
1858,1,1.25
1859,1,1.25
1860,1,1.5
1861,1,1.5
1862,1,1.25
1863,1,1.25
1864,1,1.25
1865,1,1.2
1866,1,1.1
1867,1,1
1868,1,0.9
1869,1,0.9
1870,1,0.9
1871,1,1
1872,1,1.1
1873,1,1.33
1874,1,1.53
1875,1,1.53
1876,1,1.53
1877,1,1.53
1878,1,1.37
1879,1,1.3
1880,1,1.3
1881,1,1.3
1882,1,1.3
1883,1,1.3
1884,1,1.3
1885,1,1.3
1886,1,1.25
1887,1,1
1888,1,1.1
1889,1,1.1
1890,1,1.2
1891,1,1.3
1892,1,1.3
1893,1,1.3
1894,1,1.3
1895,1,1.3
1896,1,1.3
1897,1,1.3
1898,1,1.5
1899,1,1.75
1900,1,1.75
1901,1,1.75
1902,1,1.75
1903,1,1.75
1904,1,1.9
1905,1,2
1906,1,2.2
1907,1,2.36
1908,1,2.37
1909,1,2.35
1910,1,2.34
1911,1,2.34
1912,1,2.34
1913,1,2.34
1914,1,2.34
1803,2,0.25
1804,2,0.27
1805,2,0.29
1806,2,0.31
1807,2,0.31
1808,2,0.37
1809,2,0.5
1810,2,0.5
1811,2,0.56
1812,2,0.62
1813,2,0.62
1814,2,0.75
1815,2,0.75
1816,2,0.75
1817,2,0.75
1818,2,0.69
1819,2,0.62
1820,2,0.75
1821,2,0.75
1822,2,0.75
1823,2,0.75
1824,2,0.75
1825,2,0.81
1826,2,0.75
1827,2,0.75
1828,2,0.81
1829,2,0.81
1830,2,0.81
1831,2,0.87
1832,2,0.87
1833,2,0.75
1834,2,0.87
1835,2,0.87
1836,2,0.87
1837,2,0.87
1838,2,0.87
1839,2,0.87
1840,2,0.87
1841,2,0.87
1842,2,0.87
1843,2,0.87
1844,2,0.87
1845,2,0.62
1846,2,0.75
1847,2,0.81
1848,2,0.81
1849,2,0.81
1850,2,0.81
1851,2,0.81
1852,2,0.81
1853,2,0.81
1854,2,0.81
1855,2,0.94
1856,2,1
1857,2,1.12
1858,2,1.12
1859,2,1.12
1860,2,1.25
1861,2,1.25
1862,2,1.25
1863,2,1.25
1864,2,1.2
1865,2,1.2
1866,2,1.2
1867,2,1.12
1868,2,0.8
1869,2,0.96
1870,2,1
1871,2,1
1872,2,1.25
1873,2,1.4
1874,2,1.5
1875,2,1.5
1876,2,1.5
1877,2,1.5
1878,2,1.25
1879,2,1.13
1880,2,1.14
1881,2,1.16
1882,2,1.33
1883,2,1.35
1884,2,1.35
1885,2,1.35
1886,2,1.27
1887,2,1.16
1888,2,1.25
1889,2,1.33
1890,2,1.39
1891,2,1.36
1892,2,1.36
1893,2,1.36
1894,2,1.3
1895,2,1.3
1896,2,1.3
1897,2,1.4
1898,2,1.6
1899,2,1.72
1900,2,1.75
1901,2,1.68
1902,2,1.68
1903,2,1.68
1904,2,1.68
1905,2,1.8
1906,2,2.07
1907,2,2.33
1908,2,2.42
1909,2,2.32
1910,2,2.32
1911,2,2.29
1912,2,2.3
1913,2,2.45
1914,2,2.45
1803,3,0.25
1804,3,0.25
1805,3,0.25
1806,3,0.25
1807,3,0.25
1808,3,0.32
1809,3,0.32
1810,3,0.33
1811,3,0.37
1812,3,0.44
1813,3,0.5
1814,3,0.62
1815,3,0.62
1816,3,0.62
1817,3,0.67
1818,3,0.56
1819,3,0.56
1820,3,0.5
1821,3,0.56
1822,3,0.56
1823,3,0.56
1824,3,0.56
1825,3,0.62
1826,3,0.5
1827,3,0.5
1828,3,0.5
1829,3,0.5
1830,3,0.5
1831,3,0.52
1832,3,0.56
1833,3,0.56
1834,3,0.56
1835,3,0.56
1836,3,0.58
1837,3,0.58
1838,3,0.58
1839,3,0.62
1840,3,0.62
1841,3,0.62
1842,3,0.62
1843,3,0.62
1844,3,0.58
1845,3,0.5
1846,3,0.52
1847,3,0.52
1848,3,0.52
1849,3,0.56
1850,3,0.56
1851,3,0.56
1852,3,0.56
1853,3,0.56
1854,3,0.56
1855,3,0.67
1856,3,0.87
1857,3,1
1858,3,1
1859,3,1
1860,3,1
1861,3,1
1862,3,1
1863,3,1
1864,3,1
1865,3,1
1866,3,1
1867,3,0.88
1868,3,0.75
1869,3,0.8
1870,3,0.8
1871,3,0.9
1872,3,1
1873,3,1.37
1874,3,1.45
1875,3,1.45
1876,3,1.45
1877,3,1.32
1878,3,1.2
1879,3,1.1
1880,3,1.1
1881,3,1
1882,3,1.2
1883,3,1.25
1884,3,1.25
1885,3,1.25
1886,3,1.2
1887,3,1.1
